BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.6,1.901179,0.05,0.207373,1.0,1000.0,0.006492969,8.4654763e-06,0.00064300027,0.00012802427
0.7,2.534906,0.05,0.25864,1.0,1000.0,0.007569844,8.4654806e-06,0.00048196456,0.00012815325
0.8,3.802359,0.05,0.338639,1.0,1000.0,0.008626878,8.4697014e-06,0.00032075767,0.00012815325
0.9,7.604716,0.05,0.507959,1.0,1000.0,0.009757389,8.4574468e-06,0.00015930066,0.0001281491
0.01,1.106141,0.06,0.020421,1.0,1000.0,0.00015597531,1.7554051e-05,0.0022982848,0.00026547815
0.1,1.216755,0.06,0.067728,1.0,1000.0,0.0015579482,1.7554051e-05,0.0020897961,0.00026547815
0.2,1.368849,0.06,0.101592,1.0,1000.0,0.0031126627,1.7554041e-05,0.0018584781,0.00026547815
0.3,1.564399,0.06,0.133015,1.0,1000.0,0.0046708356,1.7554041e-05,0.0016146041,0.00026547715
0.4,1.825132,0.06,0.165899,1.0,1000.0,0.006239223,1.7553941e-05,0.00138701224,0.00026547715
0.5,2.190159,0.06,0.203183,1.0,1000.0,0.007800293,1.7553966e-05,0.00115276305,0.00026547714
0.6,2.737698,0.06,0.248848,1.0,1000.0,0.009347667,1.7555223e-05,0.00092671621,0.00026574312
0.7,3.650265,0.06,0.310368,1.0,1000.0,0.010878346,1.7555172e-05,0.000690262,0.00026574311
0.8,5.475396,0.06,0.406367,1.0,1000.0,0.012434487,1.756017e-05,0.00046088126,0.00026574204
0.9,10.95079,0.06,0.60955,1.0,1000.0,0.014072005,1.7536532e-05,0.00023021996,0.00026572554
0.01,1.50558,0.07,0.023824,1.0,1000.0,0.00021221723,3.2520825e-05,0.0031281332,0.0004918293
0.1,1.656138,0.07,0.079016,1.0,1000.0,0.0021203288,3.2520825e-05,0.0028402681,0.0004918293
0.2,1.863156,0.07,0.118524,1.0,1000.0,0.0042449083,3.2520816e-05,0.0025067267,0.0004918293
0.3,2.129321,0.07,0.155184,1.0,1000.0,0.006374767,3.2520884e-05,0.0022109144,0.0004918292
0.4,2.484208,0.07,0.193548,1.0,1000.0,0.008484513,3.2520894e-05,0.0018839037,0.0004923282
0.5,2.98105,0.07,0.237047,1.0,1000.0,0.01060733,3.2520626e-05,0.0015827962,0.0004923271
0.6,3.726311,0.07,0.290322,1.0,1000.0,0.012690485,3.2520695e-05,0.00125921231,0.000492325
0.7,4.968415,0.07,0.362096,1.0,1000.0,0.014833897,3.2533604e-05,0.00094131863,0.0004923198
0.8,7.452622,0.07,0.474095,1.0,1000.0,0.017021894,3.249007e-05,0.00062900073,0.0004923147
0.9,14.90525,0.07,0.711142,1.0,1000.0,0.019089924,3.2491412e-05,0.00031372541,0.0004922671
0.01,1.966472,0.08,0.027228,1.0,1000.0,0.00027715491,5.5479638e-05,0.00408019,0.0008390387
0.1,2.16312,0.08,0.090304,1.0,1000.0,0.0027774479,5.5479762e-05,0.0037063614,0.0008390387
0.2,2.433509,0.08,0.135456,1.0,1000.0,0.005542342,5.5479792e-05,0.0033021212,0.0008398887
0.3,2.781154,0.08,0.177353,1.0,1000.0,0.008315323,5.5478992e-05,0.0028819606,0.0008398886
0.4,3.244679,0.08,0.221198,1.0,1000.0,0.011074379,5.5478991e-05,0.0024699879,0.0008398866
0.5,3.893616,0.08,0.270911,1.0,1000.0,0.013855419,5.5506989e-05,0.0020510663,0.0008398855
0.6,4.867019,0.08,0.331797,1.0,1000.0,0.016577006,5.5506787e-05,0.0016367244,0.0008398813
0.7,6.489359,0.08,0.413824,1.0,1000.0,0.019415153,5.5432331e-05,0.00123422578,0.0008398723
0.8,9.734037,0.08,0.541822,1.0,1000.0,0.022101596,5.5424345e-05,0.00082180644,0.0008398321
0.9,19.46808,0.08,0.812734,1.0,1000.0,0.025090765,5.5492939e-05,0.00040752723,0.0008396384
0.01,2.488817,0.09,0.030631,1.0,1000.0,0.00035034964,8.8867443e-05,0.0051559391,0.0013453231
0.1,2.737698,0.09,0.101592,1.0,1000.0,0.0035053388,8.8874028e-05,0.0046910801,0.0013453231
0.2,3.079911,0.09,0.152388,1.0,1000.0,0.006995187,8.8866738e-05,0.0041667197,0.0013453231
0.3,3.519898,0.09,0.199522,1.0,1000.0,0.010502165,8.8866734e-05,0.0036394419,0.0013453231
0.4,4.106547,0.09,0.248848,1.0,1000.0,0.01400419,8.8911203e-05,0.0031175415,0.0013453229
0.5,4.927857,0.09,0.304775,1.0,1000.0,0.017499871,8.8910951e-05,0.0026045538,0.0013453224
0.6,6.15982,0.09,0.373272,1.0,1000.0,0.02105265,8.8897303e-05,0.0020805731,0.0013453023
0.7,8.213095,0.09,0.465552,1.0,1000.0,0.024625156,8.8792102e-05,0.0015594469,0.001345271
0.8,12.31964,0.09,0.60955,1.0,1000.0,0.02810932,8.8828559e-05,0.001036318,0.0013451992
0.9,24.63928,0.09,0.914326,1.0,1000.0,0.031649025,8.8821229e-05,0.0005161713,0.0013438999
