BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.04906695,5.406047,0.13,0.1,1.0,1000.0,0.0035801529,0.00038697161,0.0103006331,0.005856378
0.5633128,11.77224,0.13,0.5,1.0,1000.0,0.041193545,0.00038645866,0.0047247567,0.005855924
0.837659,31.66661,0.13,1.0,1.0,1000.0,0.06170767,0.00038687118,0.0017508609,0.005845807
0.04566256,5.809097,0.135,0.1,1.0,1000.0,0.0036010668,0.00045002456,0.0111692049,0.006810702
0.5446649,12.17529,0.135,0.5,1.0,1000.0,0.0430438,0.00044969754,0.0052939288,0.006810226
0.8271314,32.06966,0.135,1.0,1.0,1000.0,0.0656362,0.00044991047,0.0020118351,0.006798283
0.04259564,6.227357,0.14,0.1,1.0,1000.0,0.0036138575,0.00052051434,0.0120438674,0.007877086
0.5265754,12.59355,0.14,0.5,1.0,1000.0,0.044845279,0.00052023412,0.0059379254,0.007876516
0.8164826,32.48792,0.14,1.0,1.0,1000.0,0.0698021,0.00052033858,0.002295815,0.007862777
0.03982363,6.660825,0.145,0.1,1.0,1000.0,0.0036365863,0.00059817459,0.0129202776,0.009063926
0.5090538,13.02702,0.145,0.5,1.0,1000.0,0.04645945,0.00059859269,0.0065888254,0.009063584
0.8057322,32.92139,0.145,1.0,1.0,1000.0,0.07391653,0.00059885155,0.0026023427,0.009049057
0.03731037,7.109504,0.15,0.1,1.0,1000.0,0.0036385459,0.00068505842,0.0138378304,0.010380268
0.4921047,13.4757,0.15,0.5,1.0,1000.0,0.048126148,0.00068551755,0.0072911239,0.010379643
0.7948987,33.37007,0.15,1.0,1.0,1000.0,0.07807871,0.00068564392,0.0029372491,0.010365495
0.03502503,7.573391,0.155,0.1,1.0,1000.0,0.003653731,0.00078106144,0.0148491351,0.011835235
0.4757282,13.93959,0.155,0.5,1.0,1000.0,0.049738657,0.00078147354,0.0080483612,0.011834211
0.784,33.83396,0.155,1.0,1.0,1000.0,0.08208842,0.0007818744,0.0032932049,0.011818031
0.03294115,8.052489,0.16,0.1,1.0,1000.0,0.0036488106,0.00088691903,0.015809999,0.013437375
0.459921,14.41869,0.16,0.5,1.0,1000.0,0.051184547,0.00088688802,0.0088445429,0.013436545
0.7730534,34.31305,0.16,1.0,1.0,1000.0,0.08638802,0.000888214,0.003696329,0.013417938
0.03103599,8.546795,0.165,0.1,1.0,1000.0,0.0036696526,0.00100309061,0.016837888,0.015197499
0.4446764,14.91299,0.165,0.5,1.0,1000.0,0.05247283,0.00100303401,0.0096590976,0.015196561
0.7620751,34.80736,0.165,1.0,1.0,1000.0,0.09039541,0.0010041717,0.004130301,0.015175124
0.02928988,9.056311,0.17,0.1,1.0,1000.0,0.0036610624,0.0011301734,0.017879043,0.017125026
0.4299855,15.42251,0.17,0.5,1.0,1000.0,0.05396996,0.0011303878,0.0104963124,0.017123582
0.7510807,35.31688,0.17,1.0,1.0,1000.0,0.09457369,0.00113147097,0.0045589686,0.01709941
0.02768576,9.581037,0.175,0.1,1.0,1000.0,0.0036705776,0.0012691353,0.019055584,0.019230284
0.4158374,15.94723,0.175,0.5,1.0,1000.0,0.05549978,0.001269532,0.0113883253,0.019228733
0.7400848,35.8416,0.175,1.0,1.0,1000.0,0.09875107,0.0012691455,0.0050315674,0.019201218
0.02620877,10.12097,0.18,0.1,1.0,1000.0,0.0036824273,0.0014204552,0.020245061,0.021523808
