BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.049067,5.406047,0.13,0.1,1.0,1000.0,0.0035801529,0.00038697161,0.0103006331,0.005856378
0.563313,11.77224,0.13,0.5,1.0,1000.0,0.041193545,0.00038645866,0.0047247567,0.005855924
0.837659,31.66661,0.13,1.0,1.0,1000.0,0.06170767,0.00038687118,0.0017508609,0.005845807
0.920696,64.823892,0.13,1.5,1.0,1000.0,0.06799578,0.00038585471,0.0008411444,0.005851133
0.042596,6.227357,0.14,0.1,1.0,1000.0,0.0036138575,0.00052051434,0.0120438674,0.007877086
0.526575,12.59355,0.14,0.5,1.0,1000.0,0.044845279,0.00052023412,0.0059379254,0.007876516
0.816483,32.48792,0.14,1.0,1.0,1000.0,0.0698021,0.00052033858,0.002295815,0.007862777
0.909177,65.645202,0.14,1.5,1.0,1000.0,0.0777867,0.00051898849,0.00111579119,0.007865768
0.03731,7.109504,0.15,0.1,1.0,1000.0,0.0036385459,0.00068505842,0.0138378304,0.010380268
0.492105,13.4757,0.15,0.5,1.0,1000.0,0.048126148,0.00068551755,0.0072911239,0.010379643
0.794899,33.37007,0.15,1.0,1.0,1000.0,0.07807871,0.00068564392,0.0029372491,0.010365495
0.897121,66.527349,0.15,1.5,1.0,1000.0,0.08800381,0.00068385927,0.0014547141,0.010366411
0.032941,8.052489,0.16,0.1,1.0,1000.0,0.0036488106,0.00088691903,0.015809999,0.013437375
0.459921,14.41869,0.16,0.5,1.0,1000.0,0.051184547,0.00088688802,0.0088445429,0.013436545
0.773053,34.31305,0.16,1.0,1.0,1000.0,0.08638802,0.000888214,0.003696329,0.013417938
0.884583,67.470334,0.16,1.5,1.0,1000.0,0.09906,0.00088533578,0.0018501017,0.013416883
0.02929,9.056311,0.17,0.1,1.0,1000.0,0.0036610624,0.0011301734,0.017879043,0.017125026
0.429986,15.42251,0.17,0.5,1.0,1000.0,0.05396996,0.0011303878,0.0104963124,0.017123582
0.751081,35.31688,0.17,1.0,1.0,1000.0,0.09457369,0.00113147097,0.0045589686,0.01709941
0.871615,68.474157,0.17,1.5,1.0,1000.0,0.11022238,0.00112740899,0.002322634,0.017097502
0.026209,10.12097,0.18,0.1,1.0,1000.0,0.0036824273,0.0014204552,0.020245061,0.021523808
0.402219,16.48717,0.18,0.5,1.0,1000.0,0.05686102,0.0014209973,0.0123759693,0.021522246
0.729101,36.38154,0.18,1.0,1.0,1000.0,0.1029665,0.0014201312,0.0055702624,0.021491189
0.85827,69.538817,0.18,1.5,1.0,1000.0,0.12166485,0.0014193029,0.0028826551,0.02147488
0.023586,11.24647,0.19,0.1,1.0,1000.0,0.0037036885,0.0017633972,0.022564464,0.026720122
0.376516,17.61267,0.19,0.5,1.0,1000.0,0.05912959,0.0017644268,0.0143026124,0.026717542
0.707223,37.50704,0.19,1.0,1.0,1000.0,0.111727,0.0017635149,0.0066849968,0.026678377
0.8446,70.664315,0.19,1.5,1.0,1000.0,0.13360157,0.0017584027,0.0035160637,0.026658299
0.021335,12.43281,0.2,0.1,1.0,1000.0,0.0037111108,0.0021666771,0.025036026,0.03280518
0.352756,18.799,0.2,0.5,1.0,1000.0,0.0614459,0.0021677071,0.016508335,0.032798976
0.685539,38.69337,0.2,1.0,1.0,1000.0,0.1198722,0.0021638828,0.0080145334,0.032752766
0.830655,71.850651,0.2,1.5,1.0,1000.0,0.14521533,0.0021642473,0.0042314496,0.03273767
0.01939,13.67998,0.21,0.1,1.0,1000.0,0.0037187651,0.0026334762,0.02767417,0.039874204
0.330809,20.04618,0.21,0.5,1.0,1000.0,0.06335362,0.0026326481,0.018802608,0.039866064
